ticket_id,timestamp,customer_id,channel,message,agent_reply,product,order_value,customer_country,resolution_status,true_category
TKT-00063,2025-11-10 23:26:03.034467,CUST-6988,chat,Incorrect item delivered.,We're sorry for the inconvenience. Our team is looking into this issue.,Wireless Earbuds,44831.76,United States,Resolved,Wrong Item
TKT-00064,2026-05-07 05:15:03.034473,CUST-3311,chat,Product does not match expectations.,Thank you for reaching out. We will resolve this as soon as possible.,Phone Charger,34808.29,Australia,Pending,Product Quality
TKT-00065,2026-01-19 15:26:03.034479,CUST-7179,chat,Please cancel my subscription.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,7212.24,United States,Pending,Subscription Cancellation
TKT-00066,2025-12-15 23:51:03.034486,CUST-4540,email,This is not what I ordered.,Our support team has escalated this case.,Keyboard,26774.57,Canada,Pending,Wrong Item
TKT-00067,2026-04-13 00:50:03.034492,CUST-9274,chat,Where is my order?,We understand your frustration and appreciate your patience.,Bluetooth Speaker,48314.13,Canada,Resolved,Delivery Delay
TKT-00068,2026-04-11 02:09:03.034498,CUST-7765,web,Website shows an error.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,47639.87,Canada,Escalated,Technical Bug
TKT-00069,2026-05-07 17:34:03.034504,CUST-6325,email,I received the wrong product.,Our support team has escalated this case.,Keyboard,36669.69,Australia,Pending,Wrong Item
TKT-00070,2026-04-25 19:10:03.034511,CUST-7378,chat,Order incomplete.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,42000.21,Germany,Pending,Missing Item
TKT-00071,2026-05-02 13:08:03.034517,CUST-1496,chat,Website shows an error.,Our support team has escalated this case.,Wireless Earbuds,7867.19,Canada,Pending,Technical Bug
TKT-00072,2025-12-08 03:04:03.034523,CUST-9192,email,I received the wrong product.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,37169.13,Australia,Pending,Wrong Item
TKT-00073,2026-01-26 10:09:03.034529,CUST-2099,web,The app crashes when I open it.,We understand your frustration and appreciate your patience.,Smart Watch,14062.85,United States,Resolved,Technical Bug
TKT-00074,2026-03-23 14:11:03.034535,CUST-1930,chat,Missing accessories.,Our support team has escalated this case.,Monitor,34626.04,United Kingdom,Pending,Missing Item
TKT-00075,2026-04-16 18:38:03.034541,CUST-1627,web,Found a bug in the application.,Thank you for reaching out. We will resolve this as soon as possible.,Keyboard,17597.19,United States,Pending,Technical Bug
TKT-00076,2026-03-15 13:08:03.034547,CUST-4874,chat,Packaging was torn and product is damaged.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,27449.03,United Kingdom,Pending,Damaged Product
TKT-00077,2026-01-10 19:06:03.034553,CUST-4463,email,Please process my refund.,We understand your frustration and appreciate your patience.,Phone Charger,39962.45,United States,Escalated,Refund Request
TKT-00078,2026-03-03 18:02:03.034561,CUST-8278,email,Unable to access dashboard.,Thank you for reaching out. We will resolve this as soon as possible.,Keyboard,10857.91,Canada,Pending,Login Issue
TKT-00079,2025-12-17 20:01:03.034566,CUST-6208,email,This is not what I ordered.,We're sorry for the inconvenience. Our team is looking into this issue.,Wireless Earbuds,21398.53,Australia,Escalated,Wrong Item
TKT-00080,2026-01-12 19:17:03.034574,CUST-4218,web,I cannot log into my account.,We understand your frustration and appreciate your patience.,Monitor,36285.76,Germany,Resolved,Login Issue
TKT-00081,2026-03-13 23:38:03.034580,CUST-2918,web,Refund has not been credited.,Thank you for reaching out. We will resolve this as soon as possible.,Gaming Mouse,22515.54,United States,Pending,Refund Request
TKT-00082,2026-04-20 06:47:03.034587,CUST-7418,email,Very disappointed with the quality.,Our support team has escalated this case.,Bluetooth Speaker,37145.45,Germany,Resolved,Product Quality
TKT-00083,2025-11-15 21:57:03.034593,CUST-1016,web,Card was charged twice.,Our support team has escalated this case.,Laptop Sleeve,17293.52,India,Pending,Payment Failure
TKT-00084,2025-12-23 09:45:03.034599,CUST-3544,chat,I cannot log into my account.,We're sorry for the inconvenience. Our team is looking into this issue.,Wireless Earbuds,13906.74,United States,Escalated,Login Issue
TKT-00085,2025-12-28 13:53:03.034606,CUST-7648,web,The package is delayed and there is no update.,Thank you for reaching out. We will resolve this as soon as possible.,Monitor,33885.71,Germany,Resolved,Delivery Delay
TKT-00086,2026-04-01 00:22:03.034612,CUST-8354,email,I received the wrong product.,Thank you for reaching out. We will resolve this as soon as possible.,Phone Charger,25695.26,Canada,Resolved,Wrong Item
TKT-00087,2025-12-14 12:38:03.034617,CUST-6444,web,One item is missing from my order.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,49591.98,United States,Resolved,Missing Item
TKT-00088,2026-03-05 22:42:03.034623,CUST-1705,email,Order incomplete.,We understand your frustration and appreciate your patience.,Laptop Sleeve,35855.52,Canada,Resolved,Missing Item
TKT-00089,2025-12-07 06:30:03.034628,CUST-5143,web,Transaction unsuccessful.,We understand your frustration and appreciate your patience.,Gaming Mouse,8905.84,India,Pending,Payment Failure
TKT-00090,2026-03-09 12:17:03.034636,CUST-4479,chat,Incorrect item delivered.,Thank you for reaching out. We will resolve this as soon as possible.,Monitor,11663.15,Australia,Escalated,Wrong Item
TKT-00091,2026-05-08 14:32:03.034642,CUST-3097,web,The package contains another item.,We understand your frustration and appreciate your patience.,Monitor,25188.58,United Kingdom,Escalated,Wrong Item
TKT-00092,2025-11-19 05:40:03.034648,CUST-1005,web,Missing accessories.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,14282.25,United States,Pending,Missing Item
TKT-00093,2026-01-06 13:16:03.034653,CUST-9848,web,Material feels cheap.,We understand your frustration and appreciate your patience.,Monitor,22732.98,Australia,Escalated,Product Quality
TKT-00094,2026-05-05 16:11:03.034660,CUST-6412,chat,I cannot log into my account.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,21363.45,Canada,Pending,Login Issue
TKT-00095,2026-05-05 22:29:03.034666,CUST-4452,web,The package is delayed and there is no update.,We're sorry for the inconvenience. Our team is looking into this issue.,Gaming Mouse,23534.34,Canada,Escalated,Delivery Delay
TKT-00096,2026-02-04 19:19:03.034672,CUST-3132,chat,The quality is very poor.,Thank you for reaching out. We will resolve this as soon as possible.,Monitor,21637.17,United Kingdom,Escalated,Product Quality
TKT-00097,2026-02-01 03:05:03.034677,CUST-5133,email,Website shows an error.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,9466.04,Germany,Resolved,Technical Bug
TKT-00098,2026-03-15 02:53:03.034683,CUST-5551,chat,Very disappointed with the quality.,Thank you for reaching out. We will resolve this as soon as possible.,Smart Watch,9919.93,Canada,Escalated,Product Quality
TKT-00099,2025-12-14 19:11:03.034689,CUST-9008,web,I want to stop recurring billing.,Thank you for reaching out. We will resolve this as soon as possible.,Bluetooth Speaker,36469.06,Canada,Resolved,Subscription Cancellation
TKT-00100,2026-01-09 11:33:03.034696,CUST-6355,web,Payment failed but money was deducted.,Our support team has escalated this case.,Keyboard,27903.53,Australia,Resolved,Payment Failure
TKT-00101,2026-03-31 15:49:03.034702,CUST-1691,chat,Website shows an error.,We understand your frustration and appreciate your patience.,Smart Watch,7732.0,Germany,Escalated,Technical Bug
TKT-00102,2025-12-25 04:52:03.034709,CUST-4569,email,Website shows an error.,Thank you for reaching out. We will resolve this as soon as possible.,Bluetooth Speaker,24254.26,Canada,Pending,Technical Bug
TKT-00103,2025-12-12 02:34:03.034715,CUST-2022,web,Cancel my membership immediately.,Thank you for reaching out. We will resolve this as soon as possible.,Smart Watch,29317.95,India,Resolved,Subscription Cancellation
TKT-00104,2026-01-07 05:02:03.034722,CUST-8773,web,Cancel my membership immediately.,Our support team has escalated this case.,Phone Charger,13044.18,Germany,Pending,Subscription Cancellation
TKT-00105,2026-04-14 09:51:03.034727,CUST-5791,email,Website shows an error.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,9788.2,Canada,Escalated,Technical Bug
TKT-00106,2026-02-03 10:56:03.034734,CUST-2260,email,I want to stop recurring billing.,We're sorry for the inconvenience. Our team is looking into this issue.,Smart Watch,7317.84,Canada,Pending,Subscription Cancellation
TKT-00107,2025-12-27 04:43:03.034739,CUST-9528,web,I want a refund for this order.,We're sorry for the inconvenience. Our team is looking into this issue.,Phone Charger,31584.36,Australia,Resolved,Refund Request
TKT-00108,2026-02-01 18:54:03.034745,CUST-1442,email,One item is missing from my order.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,43164.06,Canada,Escalated,Missing Item
TKT-00109,2026-05-02 00:04:03.034751,CUST-7893,email,Please process my refund.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,11869.02,United Kingdom,Pending,Refund Request
TKT-00110,2026-04-15 22:09:03.034760,CUST-4448,email,Where is my order?,Our support team has escalated this case.,Monitor,18496.19,United States,Resolved,Delivery Delay
TKT-00111,2025-11-14 08:40:03.034765,CUST-1427,chat,Product was damaged during shipping.,We understand your frustration and appreciate your patience.,Gaming Mouse,18975.98,Australia,Escalated,Damaged Product
TKT-00112,2025-12-11 21:28:03.034771,CUST-3871,chat,Very disappointed with the quality.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,29022.81,India,Pending,Product Quality
TKT-00113,2026-05-02 16:18:03.034777,CUST-1811,chat,Missing accessories.,We understand your frustration and appreciate your patience.,Monitor,39523.53,Canada,Escalated,Missing Item
TKT-00114,2026-03-29 20:28:03.034782,CUST-2100,chat,Material feels cheap.,We understand your frustration and appreciate your patience.,Laptop Sleeve,45033.71,United Kingdom,Escalated,Product Quality
TKT-00115,2026-01-03 01:26:03.034788,CUST-8148,chat,Very disappointed with the quality.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,23808.05,Canada,Resolved,Product Quality
TKT-00116,2025-12-27 02:31:03.034794,CUST-1881,chat,This is not what I ordered.,Thank you for reaching out. We will resolve this as soon as possible.,Gaming Mouse,16447.04,United Kingdom,Resolved,Wrong Item
TKT-00117,2026-01-25 21:58:03.034799,CUST-7831,chat,Cancel my membership immediately.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,18004.42,Germany,Escalated,Subscription Cancellation
TKT-00118,2026-03-25 18:46:03.034805,CUST-2143,email,I cannot log into my account.,Our support team has escalated this case.,Smart Watch,28831.99,United Kingdom,Escalated,Login Issue
TKT-00119,2026-02-22 21:35:03.034811,CUST-3388,email,The quality is very poor.,Thank you for reaching out. We will resolve this as soon as possible.,Gaming Mouse,37179.15,Germany,Escalated,Product Quality
TKT-00120,2026-04-19 12:38:03.034818,CUST-5060,email,Package did not contain all products.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,4105.78,Australia,Pending,Missing Item
TKT-00121,2026-03-23 02:04:03.034824,CUST-1040,web,Card was charged twice.,We understand your frustration and appreciate your patience.,Monitor,37744.55,Germany,Pending,Payment Failure
TKT-00122,2026-03-31 07:09:03.034830,CUST-5238,email,Cancel my membership immediately.,We're sorry for the inconvenience. Our team is looking into this issue.,Bluetooth Speaker,5033.55,United Kingdom,Resolved,Subscription Cancellation
TKT-00123,2026-01-03 17:16:03.034836,CUST-4165,web,Account login failed.,Thank you for reaching out. We will resolve this as soon as possible.,Gaming Mouse,13587.51,India,Resolved,Login Issue
TKT-00124,2026-04-17 11:51:03.034842,CUST-8979,chat,I want a refund for this order.,We understand your frustration and appreciate your patience.,Keyboard,13449.71,Germany,Escalated,Refund Request
TKT-00125,2026-03-19 08:48:03.034849,CUST-9812,email,I want a refund for this order.,Our support team has escalated this case.,Monitor,41145.58,Australia,Resolved,Refund Request
TKT-00126,2025-11-26 13:21:03.034855,CUST-3748,web,I cannot log into my account.,We understand your frustration and appreciate your patience.,Smart Watch,37317.34,India,Pending,Login Issue
TKT-00127,2026-01-06 15:47:03.034861,CUST-1997,chat,One item is missing from my order.,Thank you for reaching out. We will resolve this as soon as possible.,Smart Watch,44487.84,Australia,Pending,Missing Item
TKT-00128,2026-03-04 02:32:03.034866,CUST-1811,email,The package is delayed and there is no update.,Thank you for reaching out. We will resolve this as soon as possible.,Gaming Mouse,34863.04,United Kingdom,Escalated,Delivery Delay
TKT-00129,2025-11-25 21:53:03.034872,CUST-7542,chat,I returned the item but haven't received my refund.,Our support team has escalated this case.,Gaming Mouse,38783.42,Canada,Resolved,Refund Request
TKT-00130,2025-12-21 12:18:03.034880,CUST-3625,web,Account login failed.,Thank you for reaching out. We will resolve this as soon as possible.,Monitor,20485.5,United States,Pending,Login Issue
TKT-00131,2026-01-30 11:24:03.034886,CUST-9832,chat,Order incomplete.,Thank you for reaching out. We will resolve this as soon as possible.,Bluetooth Speaker,16484.09,Australia,Resolved,Missing Item
TKT-00132,2025-12-07 00:18:03.034892,CUST-5075,chat,Unable to access dashboard.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,39892.41,Germany,Escalated,Login Issue
TKT-00133,2026-01-30 20:37:03.034898,CUST-3822,email,Unable to access dashboard.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,7228.25,United Kingdom,Resolved,Login Issue
TKT-00134,2025-12-11 06:19:03.034904,CUST-1835,chat,I want a refund for this order.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,38520.63,Germany,Escalated,Refund Request
TKT-00135,2025-12-22 02:33:03.034910,CUST-1499,email,The item arrived broken.,Thank you for reaching out. We will resolve this as soon as possible.,Laptop Sleeve,7247.9,United States,Escalated,Damaged Product
TKT-00136,2025-11-25 00:43:03.034917,CUST-2765,web,Found a bug in the application.,We understand your frustration and appreciate your patience.,Bluetooth Speaker,48538.87,United States,Resolved,Technical Bug
TKT-00137,2025-11-25 08:23:03.034922,CUST-9718,email,I want a refund for this order.,We understand your frustration and appreciate your patience.,Laptop Sleeve,37895.85,Australia,Escalated,Refund Request
TKT-00138,2026-04-15 04:50:03.034928,CUST-5164,email,The quality is very poor.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,12136.12,India,Pending,Product Quality
TKT-00139,2026-03-13 06:39:03.034934,CUST-8982,email,Where is my order?,Our support team has escalated this case.,Bluetooth Speaker,26126.82,United Kingdom,Resolved,Delivery Delay
TKT-00140,2026-02-15 18:03:03.034942,CUST-7133,chat,I received the wrong product.,We understand your frustration and appreciate your patience.,Wireless Earbuds,15737.49,Australia,Escalated,Wrong Item
TKT-00141,2026-04-18 06:06:03.034947,CUST-7454,web,My order has not arrived yet.,We're sorry for the inconvenience. Our team is looking into this issue.,Monitor,27917.93,Australia,Pending,Delivery Delay
TKT-00142,2025-11-19 16:38:03.034953,CUST-1213,web,Very disappointed with the quality.,Our support team has escalated this case.,Laptop Sleeve,6409.76,United Kingdom,Pending,Product Quality
TKT-00143,2026-02-19 23:49:03.034959,CUST-5372,email,Payment failed but money was deducted.,We're sorry for the inconvenience. Our team is looking into this issue.,Laptop Sleeve,18969.69,Australia,Escalated,Payment Failure
TKT-00144,2026-04-08 01:59:03.034965,CUST-3769,email,Received a cracked product.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,45273.99,Germany,Pending,Damaged Product
TKT-00145,2026-03-01 19:24:03.034971,CUST-8566,web,Account login failed.,Thank you for reaching out. We will resolve this as soon as possible.,Phone Charger,1143.68,Germany,Pending,Login Issue
TKT-00146,2026-01-26 13:07:03.034978,CUST-2064,web,Checkout page is broken.,Our support team has escalated this case.,Smart Watch,37613.2,United States,Pending,Technical Bug
TKT-00147,2026-02-22 17:25:03.034984,CUST-8773,web,Delivery was supposed to be yesterday.,We understand your frustration and appreciate your patience.,Wireless Earbuds,1409.29,United Kingdom,Resolved,Delivery Delay
TKT-00148,2025-12-12 01:14:03.034990,CUST-8695,chat,Unable to complete payment.,Thank you for reaching out. We will resolve this as soon as possible.,Keyboard,6118.42,India,Resolved,Payment Failure
TKT-00149,2026-02-10 09:19:03.034996,CUST-9930,email,The package is delayed and there is no update.,We're sorry for the inconvenience. Our team is looking into this issue.,Keyboard,5870.7,India,Pending,Delivery Delay
TKT-00150,2026-02-06 22:37:03.035004,CUST-9916,chat,I returned the item but haven't received my refund.,Thank you for reaching out. We will resolve this as soon as possible.,Wireless Earbuds,38061.52,Australia,Resolved,Refund Request
TKT-00151,2026-03-11 04:46:03.035009,CUST-3586,email,The quality is very poor.,We understand your frustration and appreciate your patience.,Phone Charger,34392.28,Canada,Resolved,Product Quality
TKT-00152,2026-03-28 18:26:03.035015,CUST-5879,email,My order has not arrived yet.,Our support team has escalated this case.,Bluetooth Speaker,29409.94,United Kingdom,Resolved,Delivery Delay
TKT-00153,2026-03-19 05:09:03.035021,CUST-4724,chat,My order has not arrived yet.,Our support team has escalated this case.,Laptop Sleeve,9701.69,United Kingdom,Resolved,Delivery Delay
